Datetime,Frequency per Minute,Activity Level
2023-02-19 11:12:56,431,Low Activity
2023-02-19 11:13:56,671,Moderate Activity
2023-02-19 11:14:56,580,Moderate Activity
2023-02-19 11:15:56,367,Low Activity
2023-02-19 11:16:56,403,Low Activity
2023-02-19 11:17:56,569,Moderate Activity
2023-02-19 11:18:56,605,Moderate Activity
2023-02-19 11:19:56,547,Moderate Activity
2023-02-19 11:20:56,411,Low Activity
2023-02-19 11:21:56,291,Low Activity
2023-02-19 11:22:56,349,Low Activity
2023-02-19 11:23:56,379,Low Activity
2023-02-19 11:24:56,221,Low Activity
2023-02-19 11:25:56,187,Low Activity
2023-02-19 11:26:56,262,Low Activity
2023-02-19 11:27:56,254,Low Activity
2023-02-19 11:28:56,302,Low Activity
2023-02-19 11:29:56,901,Moderate Activity
2023-02-19 11:30:56,580,Moderate Activity
2023-02-19 11:31:56,215,Low Activity
2023-02-19 11:32:56,522,Moderate Activity
2023-02-19 11:33:56,1076,High Activity
2023-02-19 11:34:56,911,Moderate Activity
2023-02-19 11:35:56,880,Moderate Activity
2023-02-19 11:36:56,827,Moderate Activity
2023-02-19 11:37:56,1043,High Activity
2023-02-19 11:38:56,777,Moderate Activity
2023-02-19 11:39:56,954,Moderate Activity
2023-02-19 11:40:56,938,Moderate Activity
2023-02-19 11:41:56,981,Moderate Activity
2023-02-19 11:42:56,945,Moderate Activity
2023-02-19 11:43:56,972,Moderate Activity
2023-02-19 11:44:56,385,Low Activity
2023-02-19 11:45:56,887,Moderate Activity
2023-02-19 11:46:56,919,Moderate Activity
2023-02-19 11:47:56,984,Moderate Activity
2023-02-19 11:48:56,897,Moderate Activity
2023-02-19 11:49:56,943,Moderate Activity
2023-02-19 11:50:56,938,Moderate Activity
2023-02-19 11:51:56,901,Moderate Activity
2023-02-19 11:52:56,979,Moderate Activity
2023-02-19 11:53:56,889,Moderate Activity
2023-02-19 11:54:56,746,Moderate Activity
2023-02-19 11:55:56,945,Moderate Activity
2023-02-19 11:56:56,986,Moderate Activity
2023-02-19 11:57:56,528,Moderate Activity
2023-02-19 11:58:56,176,Low Activity
2023-02-19 11:59:56,23,Low Activity
2023-02-19 12:00:56,255,Low Activity
2023-02-19 12:01:56,99,Low Activity
2023-02-19 12:02:56,78,Low Activity
2023-02-19 12:03:56,337,Low Activity
2023-02-19 12:04:56,691,Moderate Activity
2023-02-19 12:05:56,736,Moderate Activity
2023-02-19 12:06:56,587,Moderate Activity
2023-02-19 12:07:56,586,Moderate Activity
2023-02-19 12:08:56,638,Moderate Activity
2023-02-19 12:09:56,938,Moderate Activity
