Datetime,Frequency per Minute,Activity Level
2023-02-19 19:31:56,1348,High Activity
2023-02-19 19:32:56,1350,High Activity
2023-02-19 19:33:56,1277,High Activity
2023-02-19 19:34:56,1348,High Activity
2023-02-19 19:35:56,1346,High Activity
2023-02-19 19:36:56,1346,High Activity
2023-02-19 19:37:56,1348,High Activity
2023-02-19 19:38:56,1344,High Activity
2023-02-19 19:39:56,1352,High Activity
2023-02-19 19:40:56,1349,High Activity
2023-02-19 19:41:56,1344,High Activity
2023-02-19 19:42:56,1349,High Activity
2023-02-19 19:43:56,1347,High Activity
2023-02-19 19:44:56,1345,High Activity
2023-02-19 19:45:56,1336,High Activity
2023-02-19 19:46:56,1342,High Activity
2023-02-19 19:47:56,1343,High Activity
2023-02-19 19:48:56,1331,High Activity
2023-02-19 19:49:56,1324,High Activity
2023-02-19 19:50:56,1329,High Activity
2023-02-19 19:51:56,1331,High Activity
2023-02-19 19:52:56,1338,High Activity
2023-02-19 19:53:56,1347,High Activity
2023-02-19 19:54:56,1339,High Activity
2023-02-19 19:55:56,341,Low Activity
2023-02-19 19:56:56,41,Low Activity
2023-02-19 19:57:56,45,Low Activity
2023-02-19 19:58:56,59,Low Activity
2023-02-19 19:59:56,28,Low Activity
2023-02-19 20:00:56,45,Low Activity
2023-02-19 20:01:56,18,Low Activity
2023-02-19 20:02:56,20,Low Activity
2023-02-19 20:03:56,29,Low Activity
2023-02-19 20:04:56,25,Low Activity
2023-02-19 20:05:56,33,Low Activity
2023-02-19 20:06:56,64,Low Activity
2023-02-19 20:07:56,22,Low Activity
2023-02-19 20:08:56,13,Low Activity
2023-02-19 20:09:56,36,Low Activity
2023-02-19 20:10:56,358,Low Activity
2023-02-19 20:11:56,951,Moderate Activity
2023-02-19 20:12:56,908,Moderate Activity
2023-02-19 20:13:56,994,Moderate Activity
2023-02-19 20:14:56,1109,High Activity
2023-02-19 20:15:56,1078,High Activity
2023-02-19 20:16:56,1028,High Activity
2023-02-19 20:17:56,1007,High Activity
2023-02-19 20:18:56,1099,High Activity
2023-02-19 20:19:56,1179,High Activity
2023-02-19 20:20:56,1119,High Activity
2023-02-19 20:21:56,1138,High Activity
2023-02-19 20:22:56,1333,High Activity
2023-02-19 20:23:56,1333,High Activity
2023-02-19 20:24:56,1338,High Activity
2023-02-19 20:25:56,1342,High Activity
2023-02-19 20:26:56,1340,High Activity
2023-02-19 20:27:56,1344,High Activity
2023-02-19 20:28:56,1330,High Activity
2023-02-19 20:29:56,1332,High Activity
2023-02-19 20:30:56,1340,High Activity
2023-02-19 20:31:56,1333,High Activity
2023-02-19 20:32:56,1344,High Activity
2023-02-19 20:33:56,1343,High Activity
2023-02-19 20:34:56,1337,High Activity
2023-02-19 20:35:56,1338,High Activity
2023-02-19 20:36:56,1319,High Activity
2023-02-19 20:37:56,1310,High Activity
2023-02-19 20:38:56,1335,High Activity
2023-02-19 20:39:56,1346,High Activity
2023-02-19 20:40:56,122,Low Activity
2023-02-19 20:41:56,139,Low Activity
2023-02-19 20:42:56,49,Low Activity
2023-02-19 20:43:56,915,Moderate Activity
2023-02-19 20:44:56,1343,High Activity
2023-02-19 20:45:56,1343,High Activity
2023-02-19 20:46:56,1338,High Activity
2023-02-19 20:47:56,1336,High Activity
2023-02-19 20:48:56,1262,High Activity
2023-02-19 20:49:56,858,Moderate Activity
2023-02-19 20:50:56,724,Moderate Activity
2023-02-19 20:51:56,238,Low Activity
2023-02-19 20:52:56,357,Low Activity
2023-02-19 20:53:56,883,Moderate Activity
2023-02-19 20:54:56,690,Moderate Activity
2023-02-19 20:55:56,932,Moderate Activity
2023-02-19 20:56:56,937,Moderate Activity
2023-02-19 20:57:56,1002,High Activity
2023-02-19 20:58:56,884,Moderate Activity
2023-02-19 20:59:56,996,Moderate Activity
2023-02-19 21:00:56,989,Moderate Activity
2023-02-19 21:01:56,1006,High Activity
2023-02-19 21:02:56,242,Low Activity
2023-02-19 21:03:56,513,Moderate Activity
2023-02-19 21:04:56,992,Moderate Activity
2023-02-19 21:05:56,941,Moderate Activity
2023-02-19 21:06:56,915,Moderate Activity
2023-02-19 21:07:56,956,Moderate Activity
2023-02-19 21:08:56,900,Moderate Activity
2023-02-19 21:09:56,999,Moderate Activity
2023-02-19 21:10:56,959,Moderate Activity
2023-02-19 21:11:56,973,Moderate Activity
2023-02-19 21:12:56,452,Low Activity
2023-02-19 21:13:56,847,Moderate Activity
2023-02-19 21:14:56,942,Moderate Activity
2023-02-19 21:15:56,978,Moderate Activity
2023-02-19 21:16:56,962,Moderate Activity
2023-02-19 21:17:56,984,Moderate Activity
2023-02-19 21:18:56,944,Moderate Activity
2023-02-19 21:19:56,957,Moderate Activity
2023-02-19 21:20:56,963,Moderate Activity
2023-02-19 21:21:56,947,Moderate Activity
2023-02-19 21:22:56,937,Moderate Activity
2023-02-19 21:23:56,854,Moderate Activity
2023-02-19 21:24:56,1010,High Activity
2023-02-19 21:25:56,935,Moderate Activity
2023-02-19 21:26:56,959,Moderate Activity
2023-02-19 21:27:56,935,Moderate Activity
2023-02-19 21:28:56,911,Moderate Activity
2023-02-19 21:29:56,929,Moderate Activity
2023-02-19 21:30:56,955,Moderate Activity
2023-02-19 21:31:56,947,Moderate Activity
2023-02-19 21:32:56,976,Moderate Activity
2023-02-19 21:33:56,981,Moderate Activity
2023-02-19 21:34:56,907,Moderate Activity
2023-02-19 21:35:56,879,Moderate Activity
2023-02-19 21:36:56,934,Moderate Activity
2023-02-19 21:37:56,903,Moderate Activity
2023-02-19 21:38:56,710,Moderate Activity
2023-02-19 21:39:56,465,Low Activity
2023-02-19 21:40:56,18,Low Activity
2023-02-19 21:41:56,28,Low Activity
2023-02-19 21:42:56,11,Low Activity
2023-02-19 21:43:56,10,Low Activity
2023-02-19 21:44:56,13,Low Activity
2023-02-19 21:45:56,67,Low Activity
2023-02-19 21:46:56,62,Low Activity
2023-02-19 21:47:56,153,Low Activity
2023-02-19 21:48:56,96,Low Activity
2023-02-19 21:49:56,44,Low Activity
2023-02-19 21:50:56,12,Low Activity
2023-02-19 21:51:56,24,Low Activity
2023-02-19 21:52:56,26,Low Activity
2023-02-19 21:53:56,24,Low Activity
2023-02-19 21:54:56,15,Low Activity
2023-02-19 21:55:56,415,Low Activity
2023-02-19 21:56:56,696,Moderate Activity
2023-02-19 21:57:56,825,Moderate Activity
2023-02-19 21:58:56,867,Moderate Activity
2023-02-19 21:59:56,979,Moderate Activity
2023-02-19 22:00:56,980,Moderate Activity
2023-02-19 22:01:56,1073,High Activity
2023-02-19 22:02:56,1088,High Activity
2023-02-19 22:03:56,971,Moderate Activity
2023-02-19 22:04:56,1075,High Activity
2023-02-19 22:05:56,1051,High Activity
2023-02-19 22:06:56,1102,High Activity
2023-02-19 22:07:56,1044,High Activity
2023-02-19 22:08:56,1060,High Activity
2023-02-19 22:09:56,1031,High Activity
2023-02-19 22:10:56,1030,High Activity
2023-02-19 22:11:56,1058,High Activity
2023-02-19 22:12:56,1033,High Activity
2023-02-19 22:13:56,1043,High Activity
2023-02-19 22:14:56,1039,High Activity
2023-02-19 22:15:56,979,Moderate Activity
2023-02-19 22:16:56,1040,High Activity
2023-02-19 22:17:56,1032,High Activity
2023-02-19 22:18:56,1082,High Activity
2023-02-19 22:19:56,1032,High Activity
2023-02-19 22:20:56,1045,High Activity
2023-02-19 22:21:56,1048,High Activity
2023-02-19 22:22:56,1052,High Activity
2023-02-19 22:23:56,1040,High Activity
2023-02-19 22:24:56,1087,High Activity
2023-02-19 22:25:56,1055,High Activity
2023-02-19 22:26:56,1129,High Activity
2023-02-19 22:27:56,1099,High Activity
2023-02-19 22:28:56,1092,High Activity
2023-02-19 22:29:56,1058,High Activity
2023-02-19 22:30:56,949,Moderate Activity
2023-02-19 22:31:56,1127,High Activity
2023-02-19 22:32:56,1077,High Activity
2023-02-19 22:33:56,1058,High Activity
2023-02-19 22:34:56,1082,High Activity
2023-02-19 22:35:56,1013,High Activity
2023-02-19 22:36:56,879,Moderate Activity
2023-02-19 22:37:56,944,Moderate Activity
2023-02-19 22:38:56,1132,High Activity
2023-02-19 22:39:56,1094,High Activity
2023-02-19 22:40:56,1058,High Activity
2023-02-19 22:41:56,1049,High Activity
2023-02-19 22:42:56,1110,High Activity
2023-02-19 22:43:56,1350,High Activity
2023-02-19 22:44:56,1341,High Activity
2023-02-19 22:45:56,1337,High Activity
2023-02-19 22:46:56,1349,High Activity
2023-02-19 22:47:56,1334,High Activity
2023-02-19 22:48:56,1342,High Activity
2023-02-19 22:49:56,1335,High Activity
2023-02-19 22:50:56,1332,High Activity
2023-02-19 22:51:56,1314,High Activity
2023-02-19 22:52:56,1330,High Activity
2023-02-19 22:53:56,1322,High Activity
2023-02-19 22:54:56,1272,High Activity
2023-02-19 22:55:56,1326,High Activity
2023-02-19 22:56:56,1332,High Activity
2023-02-19 22:57:56,1320,High Activity
2023-02-19 22:58:56,1317,High Activity
2023-02-19 22:59:56,1331,High Activity
2023-02-19 23:00:56,916,Moderate Activity
2023-02-19 23:01:56,867,Moderate Activity
2023-02-19 23:02:56,969,Moderate Activity
2023-02-19 23:03:56,960,Moderate Activity
2023-02-19 23:04:56,854,Moderate Activity
2023-02-19 23:05:56,993,Moderate Activity
2023-02-19 23:06:56,995,Moderate Activity
2023-02-19 23:07:56,938,Moderate Activity
2023-02-19 23:08:56,858,Moderate Activity
2023-02-19 23:09:56,935,Moderate Activity
2023-02-19 23:10:56,963,Moderate Activity
2023-02-19 23:11:56,936,Moderate Activity
2023-02-19 23:12:56,935,Moderate Activity
2023-02-19 23:13:56,954,Moderate Activity
2023-02-19 23:14:56,745,Moderate Activity
2023-02-19 23:15:56,35,Low Activity
2023-02-19 23:16:56,4,Low Activity
2023-02-19 23:17:56,15,Low Activity
2023-02-19 23:18:56,3,Low Activity
2023-02-19 23:19:56,52,Low Activity
2023-02-19 23:20:56,9,Low Activity
2023-02-19 23:21:56,5,Low Activity
2023-02-19 23:22:56,5,Low Activity
2023-02-19 23:23:56,12,Low Activity
2023-02-19 23:24:56,5,Low Activity
2023-02-19 23:25:56,34,Low Activity
2023-02-19 23:26:56,29,Low Activity
2023-02-19 23:27:56,259,Low Activity
2023-02-19 23:28:56,200,Low Activity
2023-02-19 23:29:56,234,Low Activity
2023-02-19 23:30:56,28,Low Activity
2023-02-19 23:31:56,6,Low Activity
2023-02-19 23:32:56,15,Low Activity
2023-02-19 23:33:56,5,Low Activity
2023-02-19 23:34:56,2,Low Activity
2023-02-19 23:35:56,17,Low Activity
2023-02-19 23:36:56,5,Low Activity
2023-02-19 23:37:56,5,Low Activity
2023-02-19 23:38:56,5,Low Activity
2023-02-19 23:39:56,4,Low Activity
2023-02-19 23:40:56,11,Low Activity
2023-02-19 23:41:56,109,Low Activity
2023-02-19 23:42:56,21,Low Activity
2023-02-19 23:43:56,20,Low Activity
2023-02-19 23:44:56,36,Low Activity
2023-02-19 23:45:56,96,Low Activity
2023-02-19 23:46:56,45,Low Activity
2023-02-19 23:47:56,337,Low Activity
2023-02-19 23:48:56,72,Low Activity
2023-02-19 23:49:56,476,Low Activity
2023-02-19 23:50:56,885,Moderate Activity
2023-02-19 23:51:56,884,Moderate Activity
2023-02-19 23:52:56,905,Moderate Activity
2023-02-19 23:53:56,1005,High Activity
2023-02-19 23:54:56,978,Moderate Activity
2023-02-19 23:55:56,1020,High Activity
2023-02-19 23:56:56,1040,High Activity
2023-02-19 23:57:56,1051,High Activity
2023-02-19 23:58:56,1026,High Activity
2023-02-19 23:59:56,1048,High Activity
2023-02-20 00:00:56,1007,High Activity
2023-02-20 00:01:56,1038,High Activity
2023-02-20 00:02:56,994,Moderate Activity
2023-02-20 00:03:56,1016,High Activity
2023-02-20 00:04:56,1016,High Activity
2023-02-20 00:05:56,993,Moderate Activity
2023-02-20 00:06:56,964,Moderate Activity
2023-02-20 00:07:56,1062,High Activity
2023-02-20 00:08:56,1219,High Activity
2023-02-20 00:09:56,1077,High Activity
2023-02-20 00:10:56,1303,High Activity
2023-02-20 00:11:56,1329,High Activity
2023-02-20 00:12:56,1322,High Activity
2023-02-20 00:13:56,1322,High Activity
2023-02-20 00:14:56,1330,High Activity
2023-02-20 00:15:56,1328,High Activity
2023-02-20 00:16:56,1335,High Activity
2023-02-20 00:17:56,1332,High Activity
2023-02-20 00:18:56,1322,High Activity
2023-02-20 00:19:56,1335,High Activity
2023-02-20 00:20:56,1324,High Activity
2023-02-20 00:21:56,1325,High Activity
2023-02-20 00:22:56,1323,High Activity
2023-02-20 00:23:56,1322,High Activity
2023-02-20 00:24:56,1326,High Activity
2023-02-20 00:25:56,1345,High Activity
2023-02-20 00:26:56,992,Moderate Activity
2023-02-20 00:27:56,598,Moderate Activity
2023-02-20 00:28:56,641,Moderate Activity
2023-02-20 00:29:56,959,Moderate Activity
2023-02-20 00:30:56,970,Moderate Activity
2023-02-20 00:31:56,995,Moderate Activity
2023-02-20 00:32:56,1011,High Activity
2023-02-20 00:33:56,1005,High Activity
2023-02-20 00:34:56,1000,Moderate Activity
2023-02-20 00:35:56,1002,High Activity
2023-02-20 00:36:56,961,Moderate Activity
2023-02-20 00:37:56,970,Moderate Activity
2023-02-20 00:38:56,885,Moderate Activity
2023-02-20 00:39:56,1035,High Activity
2023-02-20 00:40:56,881,Moderate Activity
2023-02-20 00:41:56,1011,High Activity
2023-02-20 00:42:56,992,Moderate Activity
2023-02-20 00:43:56,996,Moderate Activity
2023-02-20 00:44:56,953,Moderate Activity
2023-02-20 00:45:56,980,Moderate Activity
2023-02-20 00:46:56,842,Moderate Activity
2023-02-20 00:47:56,953,Moderate Activity
2023-02-20 00:48:56,934,Moderate Activity
2023-02-20 00:49:56,940,Moderate Activity
2023-02-20 00:50:56,1028,High Activity
2023-02-20 00:51:56,988,Moderate Activity
2023-02-20 00:52:56,952,Moderate Activity
2023-02-20 00:53:56,1001,High Activity
2023-02-20 00:54:56,1004,High Activity
2023-02-20 00:55:56,972,Moderate Activity
2023-02-20 00:56:56,986,Moderate Activity
2023-02-20 00:57:56,958,Moderate Activity
2023-02-20 00:58:56,967,Moderate Activity
2023-02-20 00:59:56,857,Moderate Activity
2023-02-20 01:00:56,942,Moderate Activity
2023-02-20 01:01:56,910,Moderate Activity
2023-02-20 01:02:56,998,Moderate Activity
2023-02-20 01:03:56,940,Moderate Activity
2023-02-20 01:04:56,1100,High Activity
2023-02-20 01:05:56,991,Moderate Activity
2023-02-20 01:06:56,1223,High Activity
2023-02-20 01:07:56,1340,High Activity
2023-02-20 01:08:56,1328,High Activity
2023-02-20 01:09:56,1328,High Activity
2023-02-20 01:10:56,1331,High Activity
2023-02-20 01:11:56,1339,High Activity
2023-02-20 01:12:56,1309,High Activity
2023-02-20 01:13:56,1326,High Activity
2023-02-20 01:14:56,1335,High Activity
2023-02-20 01:15:56,1335,High Activity
2023-02-20 01:16:56,1336,High Activity
2023-02-20 01:17:56,1323,High Activity
2023-02-20 01:18:56,1340,High Activity
2023-02-20 01:19:56,1339,High Activity
2023-02-20 01:20:56,1323,High Activity
2023-02-20 01:21:56,1337,High Activity
2023-02-20 01:22:56,1336,High Activity
2023-02-20 01:23:56,1319,High Activity
2023-02-20 01:24:56,1330,High Activity
2023-02-20 01:25:56,1335,High Activity
2023-02-20 01:26:56,1331,High Activity
2023-02-20 01:27:56,1329,High Activity
2023-02-20 01:28:56,1338,High Activity
2023-02-20 01:29:56,1345,High Activity
2023-02-20 01:30:56,1337,High Activity
2023-02-20 01:31:56,1343,High Activity
2023-02-20 01:32:56,1335,High Activity
2023-02-20 01:33:56,1327,High Activity
2023-02-20 01:34:56,1338,High Activity
2023-02-20 01:35:56,1330,High Activity
2023-02-20 01:36:56,1186,High Activity
2023-02-20 01:37:56,1348,High Activity
2023-02-20 01:38:56,1258,High Activity
2023-02-20 01:39:56,984,Moderate Activity
2023-02-20 01:40:56,982,Moderate Activity
2023-02-20 01:41:56,1049,High Activity
2023-02-20 01:42:56,1030,High Activity
2023-02-20 01:43:56,1034,High Activity
2023-02-20 01:44:56,990,Moderate Activity
2023-02-20 01:45:56,1026,High Activity
2023-02-20 01:46:56,1022,High Activity
2023-02-20 01:47:56,1026,High Activity
2023-02-20 01:48:56,1019,High Activity
2023-02-20 01:49:56,939,Moderate Activity
2023-02-20 01:50:56,988,Moderate Activity
2023-02-20 01:51:56,1006,High Activity
2023-02-20 01:52:56,1017,High Activity
2023-02-20 01:53:56,1038,High Activity
2023-02-20 01:54:56,1007,High Activity
2023-02-20 01:55:56,963,Moderate Activity
2023-02-20 01:56:56,1013,High Activity
2023-02-20 01:57:56,972,Moderate Activity
2023-02-20 01:58:56,935,Moderate Activity
2023-02-20 01:59:56,974,Moderate Activity
2023-02-20 02:00:56,1006,High Activity
2023-02-20 02:01:56,962,Moderate Activity
2023-02-20 02:02:56,985,Moderate Activity
2023-02-20 02:03:56,976,Moderate Activity
2023-02-20 02:04:56,949,Moderate Activity
2023-02-20 02:05:56,953,Moderate Activity
2023-02-20 02:06:56,970,Moderate Activity
2023-02-20 02:07:56,736,Moderate Activity
2023-02-20 02:08:56,970,Moderate Activity
2023-02-20 02:09:56,930,Moderate Activity
2023-02-20 02:10:56,963,Moderate Activity
2023-02-20 02:11:56,973,Moderate Activity
2023-02-20 02:12:56,935,Moderate Activity
2023-02-20 02:13:56,746,Moderate Activity
2023-02-20 02:14:56,978,Moderate Activity
2023-02-20 02:15:56,991,Moderate Activity
2023-02-20 02:16:56,996,Moderate Activity
2023-02-20 02:17:56,922,Moderate Activity
2023-02-20 02:18:56,928,Moderate Activity
2023-02-20 02:19:56,933,Moderate Activity
2023-02-20 02:20:56,898,Moderate Activity
2023-02-20 02:21:56,868,Moderate Activity
2023-02-20 02:22:56,927,Moderate Activity
2023-02-20 02:23:56,950,Moderate Activity
2023-02-20 02:24:56,893,Moderate Activity
2023-02-20 02:25:56,908,Moderate Activity
2023-02-20 02:26:56,923,Moderate Activity
2023-02-20 02:27:56,886,Moderate Activity
2023-02-20 02:28:56,899,Moderate Activity
2023-02-20 02:29:56,916,Moderate Activity
2023-02-20 02:30:56,846,Moderate Activity
2023-02-20 02:31:56,841,Moderate Activity
2023-02-20 02:32:56,911,Moderate Activity
2023-02-20 02:33:56,876,Moderate Activity
2023-02-20 02:34:56,859,Moderate Activity
2023-02-20 02:35:56,908,Moderate Activity
2023-02-20 02:36:56,928,Moderate Activity
2023-02-20 02:37:56,902,Moderate Activity
2023-02-20 02:38:56,686,Moderate Activity
2023-02-20 02:39:56,41,Low Activity
2023-02-20 02:40:56,39,Low Activity
2023-02-20 02:41:56,306,Low Activity
2023-02-20 02:42:56,12,Low Activity
2023-02-20 02:43:56,30,Low Activity
2023-02-20 02:44:56,1,Low Activity
2023-02-20 02:45:56,12,Low Activity
2023-02-20 02:46:56,6,Low Activity
2023-02-20 02:47:56,8,Low Activity
2023-02-20 02:48:56,3,Low Activity
2023-02-20 02:49:56,14,Low Activity
2023-02-20 02:50:56,7,Low Activity
2023-02-20 02:51:56,26,Low Activity
2023-02-20 02:52:56,4,Low Activity
2023-02-20 02:53:56,753,Moderate Activity
2023-02-20 02:54:56,906,Moderate Activity
2023-02-20 02:55:56,965,Moderate Activity
2023-02-20 02:56:56,926,Moderate Activity
2023-02-20 02:57:56,999,Moderate Activity
2023-02-20 02:58:56,892,Moderate Activity
2023-02-20 02:59:56,974,Moderate Activity
2023-02-20 03:00:56,977,Moderate Activity
2023-02-20 03:01:56,967,Moderate Activity
2023-02-20 03:02:56,951,Moderate Activity
2023-02-20 03:03:56,980,Moderate Activity
2023-02-20 03:04:56,956,Moderate Activity
2023-02-20 03:05:56,1010,High Activity
2023-02-20 03:06:56,899,Moderate Activity
2023-02-20 03:07:56,1006,High Activity
2023-02-20 03:08:56,1074,High Activity
2023-02-20 03:09:56,1017,High Activity
2023-02-20 03:10:56,1002,High Activity
2023-02-20 03:11:56,940,Moderate Activity
2023-02-20 03:12:56,977,Moderate Activity
2023-02-20 03:13:56,994,Moderate Activity
2023-02-20 03:14:56,1061,High Activity
2023-02-20 03:15:56,886,Moderate Activity
2023-02-20 03:16:56,975,Moderate Activity
2023-02-20 03:17:56,988,Moderate Activity
2023-02-20 03:18:56,999,Moderate Activity
2023-02-20 03:19:56,996,Moderate Activity
2023-02-20 03:20:56,885,Moderate Activity
2023-02-20 03:21:56,1041,High Activity
2023-02-20 03:22:56,984,Moderate Activity
2023-02-20 03:23:56,953,Moderate Activity
2023-02-20 03:24:56,991,Moderate Activity
2023-02-20 03:25:56,1058,High Activity
2023-02-20 03:26:56,1023,High Activity
2023-02-20 03:27:56,1024,High Activity
2023-02-20 03:28:56,1040,High Activity
2023-02-20 03:29:56,982,Moderate Activity
2023-02-20 03:30:56,1007,High Activity
2023-02-20 03:31:56,1013,High Activity
2023-02-20 03:32:56,1059,High Activity
2023-02-20 03:33:56,1101,High Activity
2023-02-20 03:34:56,860,Moderate Activity
2023-02-20 03:35:56,913,Moderate Activity
2023-02-20 03:36:56,914,Moderate Activity
2023-02-20 03:37:56,956,Moderate Activity
2023-02-20 03:38:56,935,Moderate Activity
2023-02-20 03:39:56,941,Moderate Activity
2023-02-20 03:40:56,904,Moderate Activity
2023-02-20 03:41:56,887,Moderate Activity
2023-02-20 03:42:56,899,Moderate Activity
2023-02-20 03:43:56,961,Moderate Activity
2023-02-20 03:44:56,927,Moderate Activity
2023-02-20 03:45:56,878,Moderate Activity
2023-02-20 03:46:56,823,Moderate Activity
2023-02-20 03:47:56,848,Moderate Activity
2023-02-20 03:48:56,864,Moderate Activity
2023-02-20 03:49:56,846,Moderate Activity
2023-02-20 03:50:56,948,Moderate Activity
2023-02-20 03:51:56,922,Moderate Activity
2023-02-20 03:52:56,935,Moderate Activity
2023-02-20 03:53:56,920,Moderate Activity
2023-02-20 03:54:56,931,Moderate Activity
2023-02-20 03:55:56,962,Moderate Activity
2023-02-20 03:56:56,859,Moderate Activity
2023-02-20 03:57:56,976,Moderate Activity
2023-02-20 03:58:56,948,Moderate Activity
2023-02-20 03:59:56,886,Moderate Activity
2023-02-20 04:00:56,1020,High Activity
2023-02-20 04:01:56,1008,High Activity
2023-02-20 04:02:56,960,Moderate Activity
2023-02-20 04:03:56,862,Moderate Activity
2023-02-20 04:04:56,903,Moderate Activity
2023-02-20 04:05:56,909,Moderate Activity
2023-02-20 04:06:56,883,Moderate Activity
2023-02-20 04:07:56,828,Moderate Activity
2023-02-20 04:08:56,894,Moderate Activity
2023-02-20 04:09:56,866,Moderate Activity
2023-02-20 04:10:56,902,Moderate Activity
2023-02-20 04:11:56,342,Low Activity
2023-02-20 04:12:56,34,Low Activity
2023-02-20 04:13:56,96,Low Activity
2023-02-20 04:14:56,55,Low Activity
2023-02-20 04:15:56,191,Low Activity
2023-02-20 04:16:56,24,Low Activity
2023-02-20 04:17:56,11,Low Activity
2023-02-20 04:18:56,45,Low Activity
2023-02-20 04:19:56,49,Low Activity
2023-02-20 04:20:56,93,Low Activity
2023-02-20 04:21:56,56,Low Activity
2023-02-20 04:22:56,68,Low Activity
2023-02-20 04:23:56,58,Low Activity
2023-02-20 04:24:56,32,Low Activity
2023-02-20 04:25:56,27,Low Activity
2023-02-20 04:26:56,179,Low Activity
2023-02-20 04:27:56,18,Low Activity
2023-02-20 04:28:56,9,Low Activity
2023-02-20 04:29:56,16,Low Activity
2023-02-20 04:30:56,607,Moderate Activity
2023-02-20 04:31:56,1019,High Activity
2023-02-20 04:32:56,1061,High Activity
2023-02-20 04:33:56,1123,High Activity
2023-02-20 04:34:56,1013,High Activity
2023-02-20 04:35:56,1057,High Activity
2023-02-20 04:36:56,955,Moderate Activity
2023-02-20 04:37:56,960,Moderate Activity
2023-02-20 04:38:56,964,Moderate Activity
2023-02-20 04:39:56,971,Moderate Activity
2023-02-20 04:40:56,943,Moderate Activity
2023-02-20 04:41:56,948,Moderate Activity
2023-02-20 04:42:56,899,Moderate Activity
2023-02-20 04:43:56,925,Moderate Activity
2023-02-20 04:44:56,926,Moderate Activity
2023-02-20 04:45:56,906,Moderate Activity
2023-02-20 04:46:56,944,Moderate Activity
2023-02-20 04:47:56,912,Moderate Activity
2023-02-20 04:48:56,875,Moderate Activity
2023-02-20 04:49:56,913,Moderate Activity
2023-02-20 04:50:56,922,Moderate Activity
2023-02-20 04:51:56,912,Moderate Activity
2023-02-20 04:52:56,931,Moderate Activity
2023-02-20 04:53:56,947,Moderate Activity
2023-02-20 04:54:56,974,Moderate Activity
2023-02-20 04:55:56,939,Moderate Activity
2023-02-20 04:56:56,946,Moderate Activity
2023-02-20 04:57:56,837,Moderate Activity
2023-02-20 04:58:56,951,Moderate Activity
2023-02-20 04:59:56,959,Moderate Activity
2023-02-20 05:00:56,948,Moderate Activity
2023-02-20 05:01:56,969,Moderate Activity
2023-02-20 05:02:56,998,Moderate Activity
2023-02-20 05:03:56,949,Moderate Activity
2023-02-20 05:04:56,999,Moderate Activity
2023-02-20 05:05:56,994,Moderate Activity
2023-02-20 05:06:56,1018,High Activity
2023-02-20 05:07:56,1041,High Activity
2023-02-20 05:08:56,993,Moderate Activity
2023-02-20 05:09:56,1253,High Activity
2023-02-20 05:10:56,1104,High Activity
2023-02-20 05:11:56,1328,High Activity
2023-02-20 05:12:56,1319,High Activity
2023-02-20 05:13:56,1320,High Activity
2023-02-20 05:14:56,1329,High Activity
2023-02-20 05:15:56,1336,High Activity
2023-02-20 05:16:56,1340,High Activity
2023-02-20 05:17:56,1336,High Activity
2023-02-20 05:18:56,1331,High Activity
2023-02-20 05:19:56,1330,High Activity
2023-02-20 05:20:56,1319,High Activity
2023-02-20 05:21:56,1345,High Activity
2023-02-20 05:22:56,1343,High Activity
2023-02-20 05:23:56,1343,High Activity
2023-02-20 05:24:56,1333,High Activity
2023-02-20 05:25:56,1342,High Activity
2023-02-20 05:26:56,1345,High Activity
2023-02-20 05:27:56,1345,High Activity
2023-02-20 05:28:56,1343,High Activity
2023-02-20 05:29:56,1339,High Activity
2023-02-20 05:30:56,1341,High Activity
2023-02-20 05:31:56,1334,High Activity
2023-02-20 05:32:56,1330,High Activity
2023-02-20 05:33:56,1346,High Activity
2023-02-20 05:34:56,1344,High Activity
2023-02-20 05:35:56,1351,High Activity
2023-02-20 05:36:56,1349,High Activity
2023-02-20 05:37:56,1328,High Activity
2023-02-20 05:38:56,1322,High Activity
2023-02-20 05:39:56,1315,High Activity
2023-02-20 05:40:56,1286,High Activity
2023-02-20 05:41:56,1293,High Activity
2023-02-20 05:42:56,1336,High Activity
2023-02-20 05:43:56,1109,High Activity
2023-02-20 05:44:56,1309,High Activity
2023-02-20 05:45:56,1330,High Activity
2023-02-20 05:46:56,1329,High Activity
2023-02-20 05:47:56,1333,High Activity
2023-02-20 05:48:56,1350,High Activity
2023-02-20 05:49:56,1338,High Activity
2023-02-20 05:50:56,1254,High Activity
2023-02-20 05:51:56,1209,High Activity
2023-02-20 05:52:56,1343,High Activity
2023-02-20 05:53:56,1259,High Activity
2023-02-20 05:54:56,1292,High Activity
2023-02-20 05:55:56,1341,High Activity
2023-02-20 05:56:56,1247,High Activity
2023-02-20 05:57:56,1137,High Activity
2023-02-20 05:58:56,1305,High Activity
2023-02-20 05:59:56,1342,High Activity
2023-02-20 06:00:56,1347,High Activity
2023-02-20 06:01:56,1346,High Activity
2023-02-20 06:02:56,1352,High Activity
2023-02-20 06:03:56,1348,High Activity
2023-02-20 06:04:56,1351,High Activity
2023-02-20 06:05:56,1350,High Activity
2023-02-20 06:06:56,1351,High Activity
2023-02-20 06:07:56,1346,High Activity
2023-02-20 06:08:56,1344,High Activity
2023-02-20 06:09:56,1350,High Activity
2023-02-20 06:10:56,1352,High Activity
2023-02-20 06:11:56,1315,High Activity
